"Country","GDP_Per_Capita","Inflation","Unemployment","Life_Expectancy","Literacy_Rate","Export_Percent_GDP","Import_Percent_GDP","FDI_Percent_GDP","Poverty_Rate","Internet_Users","Category"
"United States",52198,1.94,5.01,81.2,99.1,72.6,43.7,4.5,6.5,91.2,"Developed"
"Canada",53849,2.33,5.58,79.1,97,65.5,46,8.1,8.4,94.6,"Developed"
"United Kingdom",62794,1.49,4.44,80,96.7,52.9,62,7.58,3.3,93.1,"Developed"
"Germany",55353,4.24,5.97,80.5,101.2,59.3,40.9,6.6,7.3,96.1,"Developed"
"France",55646,3.47,4.67,84.7,97.6,51.7,48.6,7.18,5,95.3,"Developed"
"Italy",63575,1.6,5.5,79.7,98.3,51.2,65.2,7.2,7.4,91.2,"Developed"
"Spain",57305,2.18,6.65,81.5,98.6,48.7,49.2,7.33,5.9,93.5,"Developed"
"Netherlands",48675,2.13,5.65,81.2,97.5,50.2,39.1,9.46,7.3,88.2,"Developed"
"Belgium",51566,3.12,4.51,79.1,98.5,68.2,44.7,6.67,8.7,95.4,"Developed"
"Switzerland",52772,2.43,6.72,80.9,98.4,54.6,53.9,7.25,6,90.2,"Developed"
"Austria",61120,2.7,6.49,83.9,97.8,56,47,8.75,8,101.7,"Developed"
"Sweden",56799,2.48,5.82,81.9,98.1,56.9,45.5,8.58,3.6,85.4,"Developed"
"Norway",57004,2.47,5.36,81.1,98,64.9,47.2,8.72,4.6,90.1,"Developed"
"Denmark",55553,3.59,4.06,80.2,100.1,50.9,50.7,6.13,9,95.3,"Developed"
"Finland",52221,2.32,7.04,76.9,97.3,47.1,62.8,10,6.8,94,"Developed"
"Ireland",63935,3.71,4.1,83.3,96.9,68.4,49.3,7.1,1.9,89.6,"Developed"
"Iceland",57489,1.26,8.28,78.1,98,51.5,58.6,9.8,3.3,88,"Developed"
"Luxembourg",45167,2.97,7.3,82.5,98.3,49.2,55,4.97,5.6,92.6,"Developed"
"Portugal",58507,2.6,4.65,84.8,98.4,45.1,49.1,7.03,7.7,91.9,"Developed"
"Australia",52636,2.67,3.46,78.1,97.5,44.7,37.7,8.87,5.8,84.8,"Developed"
"New Zealand",49661,2.8,3.93,82.4,96.9,50.4,45.8,5.93,7.2,92.1,"Developed"
"Japan",53910,2.1,5.39,80.5,99.3,59.9,46.1,5.87,7.9,92.8,"Developed"
"South Korea",49870,2.23,4.63,77.9,97.7,63.9,50.4,5.59,9.3,92.7,"Developed"
"Singapore",51356,1.69,4.48,78,97.1,60.7,60.4,5.42,6.1,87.8,"Developed"
"Israel",51875,1.64,3.57,77.8,97.8,52.1,68.3,6.34,5.9,93.9,"Developed"
"Czech Republic",46567,2.74,4.93,79.9,97.8,55.5,62.4,7.5,2.5,97.5,"Developed"
"Slovakia",59189,2.86,3.82,78.1,99.1,49.4,48.9,3.98,6.2,93.8,"Developed"
"Slovenia",55767,2.54,2.5,82.4,98.1,49.3,35.9,7.32,4.9,87.5,"Developed"
"Estonia",49309,3.24,4.43,85.2,98.8,62.1,46.9,8.86,4.1,90.3,"Developed"
"Latvia",61269,4.14,6.38,78.4,97.5,46.9,50.7,10.06,5.6,93.4,"Developed"
"Lithuania",57132,2.11,4.14,82.6,98.2,70.6,56.8,8.95,8,89.4,"Developed"
"Poland",53525,0.65,5.91,82.5,97.7,54.3,57.7,8.14,2,83.4,"Developed"
"Hungary",59476,3.3,2.57,81.7,98.1,56.7,55.5,4.41,5.1,95.5,"Developed"
"Greece",59391,1.93,4.92,79,97.1,49.1,38.8,6.1,6.2,88.7,"Developed"
"Croatia",59108,1.95,5.78,80.8,96.7,50.4,56.8,6.47,4.2,89.7,"Developed"
"Malta",58443,3.32,5.45,80.4,100,44.5,46.4,8.06,6.7,98,"Developed"
"Cyprus",57770,2.27,5.16,82.1,98.6,53.5,51.4,6.84,6.8,88.9,"Developed"
"United Arab Emirates",54690,1.52,4.04,80.3,96.7,58.4,50.6,5.11,5.9,95.4,"Developed"
"Qatar",53470,2.65,3.73,83,97.4,57.6,53.4,9.53,1.1,87,"Developed"
"Kuwait",53098,2.39,3.46,80.3,96.8,48.7,50.2,8.37,11.1,90.6,"Developed"
"India",17706,3.64,8.04,74.9,84.7,50.6,38.3,4.96,12.8,72.3,"Developing"
"China",13325,6.18,8.63,71.7,90.3,41.8,47.2,5.68,9.4,72.9,"Developing"
"Brazil",15461,6.49,10.66,69.9,83.6,41.7,46.3,3.63,21.2,72.9,"Developing"
"Mexico",17885,5.2,8.24,71.2,93.9,29.9,50,3.3,10.4,54.5,"Developing"
"Argentina",20683,4.53,9.43,75.3,83.3,48.3,41.8,3.25,18,70.9,"Developing"
"Chile",11398,5.75,9.56,73.7,88.4,40.3,52.2,4,19.3,75.7,"Developing"
"Colombia",16601,6.16,9.83,75.7,90.1,36.7,38.4,4.21,20.8,78.2,"Developing"
"Peru",21026,6.82,6.85,72.4,90.3,30.7,42.4,5.08,18.9,66.2,"Developing"
"Thailand",15845,2.42,11.25,73.2,86.8,39.6,50.9,4.11,14.3,65.4,"Developing"
"Malaysia",18909,3.05,7.24,70.3,88.3,35.2,52.9,2.01,22.9,79.9,"Developing"
"Indonesia",19969,7.65,7.79,73.8,91.8,38.8,29.5,4.39,26.7,54.7,"Developing"
"Vietnam",19071,7.07,10.81,70.5,82.2,32.3,45.9,5.92,22.4,64.5,"Developing"
"Philippines",20613,6.15,10.59,67.7,84.9,55.5,49.9,5.93,8.3,71.7,"Developing"
"Bangladesh",17509,6.57,5.82,72.4,89.3,41.9,33.4,3.55,25,55.1,"Developing"
"Pakistan",16345,6.88,6.25,77.8,86.2,50.6,48.8,2.64,17.7,70.2,"Developing"
"Sri Lanka",7427,1.51,5.28,74.4,93.5,21.2,38.4,7.45,20.6,83,"Developing"
"Nepal",17628,7.17,8.36,75.5,90.7,38.4,53.2,4.31,21.1,68,"Developing"
"Mongolia",19721,4.77,8.33,73.1,88.3,36.6,49.3,4.38,17.5,65.8,"Developing"
"Turkey",20142,5.85,8.73,70.2,82,32.2,51.2,5,17.6,71.8,"Developing"
